subject,object,predicates
pedestrian,lights,"['overlooking', 'position', 'installs', 'leading', 'motorized', 'installed', 'reported', 'trust', 'have', 'remove', 'collided', 'fix', 'clinging', 'be', 'die', 'build', 'using', 'pegged', 'go', 'narrows', 'been', 'get', 'knocked', 'cross', 'running', 'are', 'fuck', 'lets', 'took', 'change', 'waiting', 'namecheck', 'ran', 'tried', 'halted', 'runs', 'smells', 'was', 'ignore', 'hit', 'broken', 'cleared', 'is', 'link', 'illuminating', 'coming', 'idling', 'stands', 'grab', 'considered', 'flashing', 'slapped', 'doing', 'catch', 'beg', 'passing', 'beeping', 'turning', 'led', 'saved', 'notice', 'make', 'seen', 'illuminated', 'crossing', 'accommodate', 'set', 'pick', 'turn', 'going', 'says', 'thank', 'shouted', 'help', 'brings', 'come', 'called', 'display', 'got', 'causing', 'achieve', 'see', 'stack', 'killed', 'seeing', 'found', 'missed', 'put', 'bing', 'applied', 'ease', 'promote', 'save', 'does', 'call', 'pressing', '’s', 'looking', 'walk', 'vacated', 'remember', 'needs', 'reduce', 'love', 'mean', 'control', 'had', 'prevent', 'introducing', 'protected', 'sitting', 'loving', 'stop', 'blamed', 'detect', 'given', 'increase', 'enjoy', 'do', 'approach', 'losing', 'working', 'tested', 'visit', 'touting', 'wait', 'blocking', 'allowing', 'gives', 'worked', 'painted', 'stuck', 'raised', 'pass', 'having', 'keep', 'think', 'controlled', 'fell', 'shaved', 'overtake', 'flips', 'cracking', 'happened', 'become', 'charing', 'happens', 'like', 'activated', 'appear', 'rehabbed', 'start', 'maintains', 'burns', 'started', 'forget', 'use', 'pressed', 'placed', 'cause', 'freak', 'regarded', 'happen', 'sniff', 'ride', 'were', 'getting', 'baffled', 'timed', 'confused', 'miss', 'added', 'blackfriars', 'dance', 'standing', 'stepped', 'connected', 'making', 'attend', 'isn', 'blame', 'happening', 'building', 'kill', 'calming', 'considering', 'done', 'fixing', 'stay', 'introduced', 'has', 'inhabiting', 'take', 'showing', 'drive', 'walking', 'spit', 'replaced', 'warn', 'collapses', 'showed', 'run', 'enforce', 'apply', 'goes', 'adding', 'negotiating', 'complicated', 'driving', 'jammed', 'film', 'feel', 'spinning', 'dropped', 'try', 'need', 'welcome', 'whizzed', 'went', 'excluded', 'create', 'chug', 'disregards', 'dealing', 'honk', 'flick', 'ignoring', 'reimagined', 'stranded', 'follow', 'please', 'powered', 'fixed', 'stops', 'respond', 'work', 'dub', 'needed', 'contrasting', 'automated', 'closing', 'crossed', 'becoming', 'monitoring', 'dressed', 'check', 'include', 'rock', 'motwyw', 'avoids', 'blind', 'calibrated', 'paid', 'expect']"
pedestrian,way,"['stay', 'feel', 'had', 'stops', 'makes', 'heard', 'go', 'making', 'view', 'care', 'made', 'make', 'needs', 'looked', 'has', 'happened', 'was', 'struck', 'ignore', 'ck', 'beginning', 'crossing', 'explore', 'approaching', 'using', 'realize', 'run', 'going', 'exchanging', 'walk', 'driving', 'goes', 'travelling', 'died', 'hitting', 'paying', 'thriving', 're', 'stays', 'planned', 'crushed', 'looking', 'awaiting', 'blocked', 'pointing', 'widen', 'being', 'jumping', 'put', 'expect', 'bother', 'yield', 'dicing', 'parked', 'cross', 'inconveniencing', 'questioned', 'prove', 'have', 'read', 'working', 'bless', 'walking', 'swear', 'is', 'facing', 'resulted', 'agrees', 'receive', 'take', 'release', 'enhanced', 'gon', 'kills', 'stroll', 'grow', 'spring', 'end', 'map', 'keep', 'do', 'gets', 'lining', 'epping', 'running', 'ramming', 'improve', 'get', 'activate', 'surrounding', 'reach', 'relates', 'were', 'let', 'hear', 'include', 'crashing', 'give', '’re', 'jack', 'becoming', 'yells', 'pass', 'missed', 'scripted', 'swiped', 'become', 'hit', 'start', 'mauled', 'jkia', 'installed', 'seek', 'injuring', 'are', 'fled', 'proceed', 'zig', 'feels', 'suffered', 'worked', 'covered', 'scare', 'remember', 'startling', 'work', 'works', 'approach', 'be', 'gaslighting', 'delivered', 'separated', 'speeding', 'affected', 'proceeded', 'runs', 'learn', 'causing', 'leading', 'fills', 'said', 'point', 'built', 'taking', 'killed', 'constitute', 'sends', 'ran', 'heads', 'follow', 'following', 'says', 'lose', 'thank', 'look', 'swerve', 'surrounded', 'breaking', 'moving', 'fuck', 'march', 'turn', 'turning', 'received', 'lost', 'knocked', 'limit', 'building', 'sidestep', 'presume', 'winding', 'trekking', 'states', 'taken', 'been', 'post', 'giving', 'added', 'lane', 'describe', 'shunted', 'linked', 'sign', 'surfocatte', 'continuing', 'oct', 'reinforcing', 'create', 'sold', 'beat', 'scammed', '’s', 'increased', 'raising', 'excuse', 'reported', 'stood', 'coming', 'fed', 'stepped', 'stop', 'love', 'accommodate', 'spanning', 'assessed', 'bemoaned', 'fell', 'step', 'gone', 'seeing', 'see', 'need', 'typing', 'failed', 'honk', 'points', 'don', 'herald', 'protected', 'gtfo', 'mowing', 'slow', 'tuned', 'stand', 'enforces', 'gives', 'puts', 'jaywalking', 'resulting', 'checking', 'prosecuted', 'changed', 'save', 'fleeing', 'erected', 'skews', 'inflicts', 'belong', 'tucked', 'riding', 'dumbed', 'abuse', 'maintaining', 'navigate', 'found', 'soiled', 'sounds', 'repair', 'existed', 'freezing', 'saw', 'blocking', 'move', 'creating', 'copy', 'refer', 'developed', 'becomes', 'enable', 'contact', 'did', 'noticed', 'moves', 'isn', 'ride', 'hearing', 'raise', 'travelled', 'backing', 'remove', 'finish', 'getting', 'encroached', 'jumped', 'amaze', 'hate', 'seen', 'hoping', 'gripped', 'ignoring', 'offers', 'frogger', 'closed', 'rid', 'talking', 'use', 'carjacking', 'stopping', 'watch', 'provide', 'asking', 'wear', 'imposed', 'signposted', 'accomodate', 'allowing', 'gotten', 'scares', 'kill', 'quiz', 'help', 'stranded', 'build', 'bitch', 'pushing', 'missing', 'automated', 'catered', 'careen', 'does', 'ejected', 'matter', 'smacked', 'proceeds', 'find', 'bound', 'used', '道を譲る', 'perished', 'ignored', 'soak', 'queued', 'striking', 'increase', 'spending', 'ticketed', 'gave', 'heading', 'understand', 'choose', 'engrave', 'exhausted', 'preserving', 'plowed', 'headed', 'appealing', 'say', 'knew', 'painted', 'motorized', 'address', 'react', 'flashing']"
accident,road,"['closed', 'struck', 'dies', 'causing', 'killed', 'wearing', 'be', 'happen', 'come', 'was', 'avoid', 'closes', 'shuts', 'southbound', 'get', 'hold', 'is', 'following', 'riding', 'heading', 'looks', 'involving', 'saving', 're', 'start', 'injured', 'use', 'told', 'making', 'lying', 'involved', 'avoided', 'crossed', 'run', 'help', 'hit', 'read']"
pedestrian,street,"['collapsed', 'arrested', 'be', 'makes', 'struck', 'is', 'crossing', 'describe', 'concluded', 'reopened', 'flying', 'hitting', 'lit', 'were', 'installed', 'going', 'improve', 'choose', 'seen', 'weigh', 'killed', 'say', 'closed', 'passing', 'add', 'head', 'hit', 'service', 'cross', 'speeding', 'sent', 'have', 'making', 'obstructed', 'get', 'driving', 'reveal', 'had', 'looking', 'seeking', 'came', 'required', 'was', 'become', '’s', 'turning', 'return', 'involving', 'go', 'walking', 'taken', 'converted', 'designated', 'died', 'heading', 'stand', 'westchester', 'being', 'rose', 'walk', 'connect', 'find', 'gives', 'learn', 'take', 'receives', 'give', 'blamed', 'crashed', 'affected', 're', 'stop', 'crosswalk', 'working', 'standing', 'investigating', 'think', 'run', 'die', 'are', 'bound', 'enforce', 'traveling', 'keep', 'knocked', 'expect', 'avoid', 'strikes', 'matter', 'facilitates', 'keeps', 'forget', 'blocked', 'features', 'according', 'provided', 'ensuring', 'considered', 'joins', 'injured', 'pushing', 'confirm', 'linking', 'minimised', 'removed', 'has', 'said', 'watling', 'threatening', 'pronounced', 'dies', 'crosses', 'send', 'coming', 'cringe', 'forms', 'come', 'fronted', 'called', 'share', 'causing', 'happened', 'got', 'prioritized', 'stolen', 'identfied', 'creating', 'encourage', 'killing', 'don', 'bring', 'swerve', 'produced', 'illustrated', 'searching', 'queuing', 'comes', 'shit', 'turn', 'accept', 'did', 'disagree', 'ride', 'speed', 'made', 'wrap', 'approaching', 'ruled', 'repainted', 'hospitalized', 'effected', 'suspected', 'close', 'read', 'sees', 'created', 'follow', 'sighted', 'opened', 'illuminated', 'move', 'pulling', 'help', 'detained', 'use', 'happen', 'ignoring', 'following', 'convert', 'ignore', 'costs', 'doing', 'heard', 'wandering', 'oriented', 'connects', 'moving', 'reopens', 'landed', 'doesn', 'see', 'thinking', 'am', 'gesticulate', 'humbles', 'collide', 'kill', 'wearing', 'becomes', 'weds', 'scrapped', 'eating', 'closing', 'need', 'absconded', 'leading', 'rear', 'stroget', 'walks', 'strolling', 'design', 'lessens', 'kicks', 'improved', 'became', 'built', 'trigger', 'recovers', 'doubled', 'sainte', 'sought', 'starting', 'reserved', 'tells', 'do', 'survive', 'repaired', 'posted', 'protecting', 'helps', 'build', 'alamitos', 'begin', 'make', 'says', 'links', 'leave', 'shut', 'restored', 'shopping', 'wondered', 'kicked', 'attaching', 'lined', 'gets', 'put', 'alerted', 'ensure', 'develop', 'continuing', 'whistle', 'cutting', 'look', 'square', 'amazes', 'identified', 'hope', 'replicate', 'obscured', 'saying', 'given', 'used', 'fell', 'aren', 'shuts', 'playing', 'sparks', 'drives', 'exit', 'backed', 'revamps', 'found', 'drive', 'building', 'viewing', 'check', 'ticketed', 'mean', 'developing', 'occurs', 'activated', 'writing', 'norma', 'rest', 'walked', 'trying', 'drove', 'turned', 'notifying', 'waiting', 'ludacris', 'waste', 'punched', 'provides', 'melds', 'redesigning', 'reach', 'tapping', 'returns', 'show', 'involved', 'invest', 'remove', 'bumping', 'looks', 'reconstructing', 'stuck', 'diverting', 'protected', 'won', 'leaving', 'strutting', 'face', 'transported', 'caused', 'learnt', 'known', 'pray', 'ran', 'jaywalking', 'breaking', 'providing', 'assessing', 'flooded', 'revealed', 'destroying', 'striping', 'turns', 'painted', 'sped', 'watch', 'separated', 'yell', 'lights', 'needs', 'seek', 'does', 'allowing', 'understand', 'boosts', 'runs', 'let', 'retrieve', 'inverted', 'try', 'stroll', 'ask', 'lynch', 'hits', 'judge', 'throwing', 'collings', 'hurt', 'rolling', 'accenting', 'looked', 'stopping', 'striking', 'prick', 'cancels', 'using', 'proceed', 'owned', 'demanding', 'catch', 'love', 'tell', 'cancel', 'slow', 'link', 'applies', 'fixed', 'disseminated', 'growing', 'mastered', 'slammed', 'disrupted', 'stopped', 'escalated', 'strewn', 'wait', 'brings', 'attached', 'feel', 'airlifted', 'remains', 'blvd', 'stays', 'running', 'infect']"
safety,access,"['trumping', 'travel', 'dedicated', 'remain', 'built', 'make', 'drop', 'call', 'is', 'providing', 'open']"
pedestrian,injuries,"['say', 'threatening', 'avoid', 'has', 'are', 'freed', 'struck', 'hit', 'causing', 'reported', 'collapses', 'made', 'run', 'herndon', 'see', 'suffers', 'says', 'suffering', 'have', 'focus', 'involving', 'follow', 'call', 'overturns', 'died', 'continue', 'taken', 'dies', 'hospitalised', 'sustains', 'suffered', 'checked', 'investigating', 'check', 'following', 'was', 'cancelling', 'landing', 'pedrick', 'reversing', 'according', 'blvd', 'claims', 'apprehended', 'running', 'opened', 'happened', 'cpr', 'closed', 'changing', 'uws', 'being', 'kill', 'coming', 'survive', 'falls', 'involved', 'knocked', 'discusses', 'speeding', 'blocked', 'crossing', 'congested', 'released', 'carling', 'confirmed', 'evaluate', 'treated', 'suspected', 'cooperating', 'clearing', 'learn', 'schmuckley', 'said', 'shut', 'contact', 'remain', 'get', 'lewelling', 'reopened', 'found', 'sustained', 'is', 'treat', 'lying', 'sideswipes', 'parked', 'fled', 'pass', 'killed', 'sr', 'oswell', 'received', 'including', 'sent', 'cause', 'live', 'pulled', 'derry', 'fell', 'expect', 'left', 'transported', 'escapes', 'stuck', 'be', 'mpd', 'failed', 'updated', 'loved', 'find', 'injured', 'make', 'took', 'park', 'rushed', 'rd', 'building', 'help', 'reporting', 'am', 'escaped', 'budlong', 'abbie', 'succumbs', 'use', 'introduced', 'cleared', 'increased', 'target', 'walked', 'mckinley', 'driven', 'hospitalized', 'flawed', 'looking', 'wilshire', 'note', 'request', 'considered', 'needed', 'read', 'stop', 'think', 'cover', 'located', 'appear', 'leads', 'knudsen', 'continued', 'fix', 'noticed', 'raises', 'sweetwater', 'trapped', 'continues', 'cross', 'come', 'guess', 'charged', 'rose', 'occurred', 'tangling', 'kerb', 'witnessed', 'evaluating', 'carob', 'hits', 'flees', 'strikes', 'violating', 'earned', 'illinois', 'click', 'knock', 'walking', 'susta', 'speak', 'leading', 'passed', 'tune', 'calvine', 'drove', 'watch', 'chp', 'receives', 'pinned', 'siempre', 'been', 'ar', 'burns', 'suffer', 'reduce', 'center', 'rip', 'do', 'assisting', 'led', 'req', 'related', 'valued', 'darkened', 'appealing', 'stops', 'foresee', 'drive', 'evaluated', 'ploughs', 'preventing', 'rubidoux', 'open', 'guthrie', 'quay', 'crestview', 'reminds', 'known', 'declined', 'investigate', 'mounted', 'clark', 'know', 'gets', 'succumbed', 'delivered', 'leaving', 'bonita', 'killing', 'collapsed', 'gilbert', 'epping', 'causes', 'indicated', 'prevent', 'win', 'con', 'installed', 'responding', 'treatening', 'hear', 'changes', 'fight', 'irving', 'burnt', 'turning', 'merced', 'jaywalking', 'add', 'fly', 'grant', 'confirm', 'controlled', 'arrested', 'taking', 'walk', 'chased', 'nash', 'rolling', 'intoxicated', 'herald', 'served', 'express', 'did', 'stayed', 'bear', 'remained', 'installs', 'crashes', 'had', 'airlifted', 'traveling', 'hold', 'were', 'wandering', 'went', 'colliding', 'attended', 'rancho', 'ridden', 'ems', 'bainbridge', 'getting', 'transporting', 'flown', 'oildale', 'going', 'fd', 've']"
mile,route,"['existing', 'die', 'find', 'complete']"
pedestrian,road,"['informed', 'says', 'involved', 'killed', 'exit', 'pick', 'remains', 'trapped', 'say', 'walk', 'join', 'use', 'stuck', 'hit', 'cross', 'stepping', 'does', 'run', 'expect', 'identify', 'enter', 'sho', 'need', 'is', 'crushed', 'disappoint', 'closed', 'struck', 'be', 'die', 'update', 'doing', 'affected', 'give', 'crossing', 'get', 'leave', 'are', 'look', 'promote', 'involving', 'find', 'failed', 'violate', 'injured', 're', 'occurred', 'died', 'opened', 'appealing', 'knocked', 'running', 'passing', 'paved', 'diverted', 'ride', 'described', 'walking', 'according', 'reopened', 'follow', 'nudge', 'lying', 'avoid', 'working', 'queuing', 'spread', 'take', 'inconveniencing', 'sought', 'collapsed', 'shared', 'help', 'warrant', 'injures', 'read', 'made', 'beaten', 'motorized', 'gauteng', 'known', 'rerouted', 'trapping', 'commissioned', 'add', 'putting', 'apply', 'following', 'robert', 'dies', 'investigating', 'tastes', 'causing', 'live', 'stay', 'skip', 'am', 'gone', 'paid', 'using', 'reported', 'alert', 'bang', 'cleared', 'block', 'broken', 'repaired', 'slow', 'wandering', 'talking', 'save', 'finds', 'steeles', 'recovering', 'cooperating', 'realized', 'tell', 'justify', 'ply', 'have', 'installed', 'pass', 'blocked', 'make', 'threatening', 'ignored', 'becoming', 'reduced', 'plan', 'know', 'going', 'had', 'back', 'want', 'grow', 'arrested', 'walked', 'sign', 'happening', 'fix', 'reduce', 'stop', 'were', 'improve', 'has', 'forcing', 'go', 'entering', 'opens', 'vote', 'called', 'theres', 'looking', 'reach', 'race', 'pay', 'waits', 'play', 'remind', 'ran', 'required', 'calls', 'seeing', 'moving', 'created', 'discuss', 'saddled', 'keep', 'making', 'dash', 'identified', 'visit', 'lead', 'remove', 'raised', 'hitting', 'taken', 'divided', 'protecting', 'reading', 'crossed', 'kennedy', 'thank', 'cycling', 'climb', 'closes', 'absconds', 'downed', 'see', 'approved', 'encourage', 'shuts', 'alt', 'carrington', 'was', 'enchroched', 'included', 'clean', 'functioning', 'saves', 'aitken', 'hurt', 'shunts', 'planned', 'creating', 'show', 'collide', 'transported', 'rolling', 'suffers', 'sides', 'setting', 'taking', 'relate', '’re', 'cope', 'ave', 'said', 'eastbound', 'asking', 'headed', 'contact', 'paves', 'protect', 'mows', 'changing', 'remaining', 'blame', 'come', 'occurring', 'don', 'neglected', 'proceeding', 'expected', 'approaching', 'stops', 'backed', 'became', 'allow', 'seek', 'facing', 'driving', 'touting', 'assist', 'flown', 'spent', 'paying', 'speak', 'turning', 'ensure', 'changed', 'established', 'collides', 'maximise', 'prefer', 'playing', 'needed', 'floats', 'joining', 'built', 'fixed', 'click', 'reinstate', 'giving', 'obey', 'been', 'told', 'squished', 'abiding', 'instated', 'suffering', 'brave', 'wearing', 'misses', 'speeding', 'treating', 'traveling', 'ferry', 'yelled', 'fulfilled', 'betray', 'insured', 'obstructed', 'pulling', 'directing', 'meeting', 'put', 'change', 'did', 'left', 'disregarded', 'maim', 'collapses', 'sb', 'occur', 'being', 'combined', 'blind', 'stalled', 'coming', 'jump', 'hate', 'seen', 'disrupt', 'jaywalking', 'think', 'mark', 'fainted', 'saved', 'means', 'searching', 'travel', 'bound', 'walks', 'rasshole', 'rushed', 'lost', 'appeal', 'repair', 'end', 'proceed', 'pulled', '’s', 'urinating', 'intersects', 'braving', 'close', 'relocated', 'controlled', 'check', 'ends', 'vandalised', 'welcome', 'feel', 'prevent', 'design', 'assisting', 'fight', 'impaired', 'covered', '’m', 'happens', 'blocks', 'shut', 'adorned', 'stopped', 'passed', 'lay', 'break', 'carrying', 'face', 'illuminated', 'reducing', 'blocking', 'hijack', 'shown', 'confirmed', 'move', 'fell', 'beautified', 'done', 'belong', 'hospitalized', 'dragged', 'reconnecting', 'sent', 'staatsartillerie', 'call', 'found', 'do', 'forces', 'survive', 'halting', 'thinking', 'wales', 'tailing', 'wave', 'warn', 'pronounced', 'slowing', 'causes', 'forms', 'starting', 'ignore', 'weaved', 'closing', 'suspected', 'completed', 'lawrence', 'starts', 'blaming', 'prove', 'pushing', 'fuck', 'forced', 'including', 'crosses', 'flows', 'added', 'flagged', 'careering', 'heading', 'recommended', 'complied', 'happened', 'set', 'investigate', 'eavesdrop', 'reached', 'send', 'hears', 'sit', 'saving', 'darting', 'stopping', 'escorted', 'caused', 'includes', 'treat', 'swearing', 'facilitates', 'yield', 'works', 'gathering', 'proposed', 'responded', 'pronounce', 'predict', 'fitted', 'honk', 'segregated', 'operate', 'demolished', 'getting', 'named', 'travelling', 'beat', 'like', 'turn', 'harming', 'thinks', 'nipped', 'bring', 'drive', 'occurs', 'hurtling', 'attending', 'oriented', 'cut', 'lane']"
pedestrian,freeway,"['killed', 'are', 'hit', 'run', 'causes', 'needs', 'closed', 'cross', 'identified', 'filmed', 'dies', 'struck', 'call', 'crossing', 'backed', 'injured', 'forcing', 'confirmed', 'was', 'walk', 'related', 'alleged', 'blocking', 'escorted', 'is', 'be', 'walking', 'going', 'causing', 'opposed', 'running', 'flowing', 'allowed', 'expect', 'investigate', 'remain', 'get', 'shot', 'doing', 'airlifted', 'found', 'died', 'did', 'redirected', 'fits', 'see', 'reported', 'shuts', 'shut', 'invests', 'said', 'have', 'afford', 'occurred', 'looking', 'involved', 'suffering', 'affected', 'undercrossing', 'blocked', 'intoxicated', 'say', 'collapsed', 'built', 'put', 'abandoned', 'seems', 'recognized', 'fly', 'grinding', 'pulled', 'find', 'published', 'tagging', 'replacing', 'says', 'come', 'ride', 'happened', 'arresting', 'investigating', 'making', 'exists', 'ticketed', 'seen', 'spanning', 'heading', 'involves', 'strolling', 'sparking', 'avoid', 'follow', 'go', 'walkin', 'obey', 'came', 'swerve', 'made', 'traumatized', 'miss', 'been', 'wandering', 'updated', 'following', 'pass', 'jumped', 'prompts', 'letting', 'read', 'closes', 'suggested', 'reopened', 'driving']"
sidewalk,traffic,"['designed', 'see', 'damaged', 'go', 'is', 'blocked', 'requires', 'slowing', 'complete', 'read', 'be', 'living', 'hear', 'get', 'leave']"
