subject,object,predicates,filtered_preds
Safety,Access,"['trumping', 'travel', 'dedicated', 'remain', 'built', 'make', 'drop', 'call', 'providing', 'open']","['trumping', 'call', 'remain', 'open', 'providing', 'travel', 'drop', 'make', 'dedicated', 'built']"
Mile,Route,"['existing', 'die', 'find', 'complete']","['existing', 'die', 'find', 'complete']"
Sidewalk,Traffic,"['designed', 'see', 'damaged', 'go', 'blocked', 'requires', 'slowing', 'complete', 'read', 'living', 'hear', 'get', 'leave']","['complete', 'slowing', 'read', 'hear', 'living', 'see', 'leave', 'requires', 'damaged', 'get']"
Construction,Route,"['create', 'palmer']","['create', 'palmer']"
Motorist,Intersection,"['improve', 'kills']","['improve', 'kills']"
Accident,Gate,"['kills', 'collapsed']","['kills', 'collapsed']"
Bus,Bridge,"['add', 'run', 'stop', 'delivering', 'work', 'see', 'reopens', 'walk', 'restricted', 'take', 'do', 'crossing', 'stationed']","['restricted', 'reopens', 'delivering', 'crossing', 'see', 'run', 'stationed', 'walk', 'work', 'add']"
Traffic,Road,"['need', 'do', 'diverted', 'wed', 'expect', 'accommodate', 'standing', 'investigate', 'cross', 'carried', 'maintained', 'walking', 'pulled', 'remain', 'blocked', 'see', 'close', 'avoid', 'reside', 'caused', 'moving', 'alternating', 'opened', 'closed', 'divert', 'shuts', 'last', 'struck', 'stop', 'starts', 'installed', 'sank', 'prevent', 'hit', 'detoured', 'improve', 'shooting', 'calming', 'reopen', 'contact', 'knocked', 'get', 'run', 'change', 'fix', 'left', 'say', 'causing', 'remains', 'gets', 'consider', 'add', 'involved', 'running', 'put', 'have', 'find', 'closes', 'reduce', 'yield', 'killed', 'dodge', 'zag', 'reopening', 'save', 'crossing', 'lies', 'shut', 'given', 'fills', 'broken', 'working', 'crosses', 'coinciding', 'had', 'assist', 'has', 'following', 'affecting', 'promote', 'begin', 'ignoring', 'turns', 'controls', 'taking', 'doing', 'squeezing', 'confused', 'read', 'remove', 'leave', 'send', 'use']","['crossing', 'stop', 'walking', 'closed']"
Traffic,Junctions,"['hit', 'injured', 'ing', 'runs', 'cope', 'done', 'allow', 'turning', 'removed']","['removed', 'turning', 'ing', 'hit', 'injured', 'done', 'cope', 'run', 'allow']"
Car,Footpath,"['intervened', 'sitting', 'taken', 'meant', 'walk', 'has', 'walked', 'dumped', 'struck', 'have', 'waiting', 'parked']","['waiting', 'meant', 'sitting', 'dumped', 'struck', 'walked', 'walk', 'have', 'intervened', 'parked']"
Route,Way,"['crossing', 'installed', 'slow', 'demolished', 'link', 'take', 'didn', 'creates', 'stop', 'blocking']","['installed', 'crossing', 'demolished', 'link', 'didn', 'slow', 'creates', 'take', 'stop', 'blocking']"
Road,Injuries,"['causing', 'have', 'highlights', 'threatening', 'cbc', 'reported']","['threatening', 'cbc', 'have', 'reported', 'highlight', 'causing']"
Mall,Parking,"['heard', 'parking', 'create', 'creating']","['heard', 'parking', 'create', 'creating']"
Vehicle,Lane,"['remain', 'closed', 'struck', 'hospitalized', 'hits', 'utlize', 'reduced', 'blocks', 'avoid', 'blocking', 'moved', 'flatbed', 'blocked', 'cross', 'occurred', 'fix', 'use', 'hit', 'collided', 'navigate', 'obstructed']","['occurred', 'flatbed', 'hospitalized', 'block', 'moved', 'struck', 'blocking', 'hit', 'remain', 'navigate']"
Bike,Trail,"['coming', 'come', 'seen', 'swamp', 'ride', 'takes', 'make', 'get', 'create', 'walkers', 'head', 'crossing', 'check', 'opens', 'go', 'described', 'take']","['described', 'swamp', 'ride', 'check', 'crossing', 'open', 'create', 'walker', 'make', 'head']"
Avenue,Trail,"['thank', 'go', 'include']","['thank', 'go', 'include']"
Traffic,Area,"['avoid', 'meets', 'reduce', 'ease', 'hope', 'looks', 'expect', 'enter', 'use', 'happens', 'resulting', 'completes', 'starts', 'taping', 'coming', 'handing', 'investigate', 'take', 'involving', 'closed', 'fall', 'limited', 'hit', 'drive', 'expected', 'prepared', 'given', 'leading', 'moving', 'shut', 'stay', 'asks', 'expanded', 'improve', 'effected', 'reopened', 'going', 'blocked', 'used', 'having', 'cleared', 'hoping']","['drive', 'coming']"
Tree,Path,"['shows', 'grant', 'blocking', 'fallen', 'leaning']","['shows', 'grant', 'blocking', 'fallen', 'leaning']"
Lane,Highway,"['nb', 'hit', 'wait', 'prioritized', 'installed', 'following', 'closed', 'get', 'cross', 'walk', 'driven']","['wait', 'hit', 'driven', 'walk', 'cross', 'closed', 'prioritized', 'get', 'nb', 'installed']"
City,Neighborhoods,"['help', 'want', 'bolster', 'connecting', 'need', 'see', 'parked', 'tell']","['bolster', 'want', 'see', 'connecting', 'tell', 'need', 'parked', 'help']"
Bike,Pathway,"['ride', 'approved', 'get', 'do', 'finished', 'separated']","['separated', 'finished', 'approved', 'get', 'ride', 'do']"
Driver,Stop,"['wake', 'walking', 'smashing']","['wake', 'walking', 'smashing']"
Route,Ramp,"['starting', 'alternating']","['starting', 'alternating']"
City,Highway,"['have', 'closed', 'approves', 'go']","['have', 'closed', 'approves', 'go']"
Cyclist,Crossing,"['drive', 'stuck', 'ploughing', 'going', 'worried', 'stop', 'flying', '’m', 'causing', 'passed', 'hit', 'fall', 'knocked', 'ended', 'enter', 'find', 'meant', 'crossed', 'apply', 'watching', 'walked', 'cross', 'flew', 'applies', 'rode']",['cross']
Transit,Connection,"['facing', 'know']","['facing', 'know']"
Fatality,Area,"['avoid', 'working', 'crossing']","['avoid', 'working', 'crossing']"
Woman,Injuries,"['suffered', 'closed', 'struck', 'requested', 'crossing', 'said', 'occurred', 'left', 'hit', 'recovering', 'share', 'hospitalised', 'driven', 'sustained', 'run', 'threatening', 'suffers', 'killed', 'have', 'collapsed', 'died', 'injures', 'snarled', 'say', 'walking', 'hits', 'appealing', 'report', 'had', 'according', 'taken', 'headed', 'changing', 'ran', 'crashed', 'received', 'identified', 'questioned', 'using', 'investigating', 'turned', 'involving']",['killed']
Rail,Crossing,"['adds', 'kept', 'do', 'crossing']","['adds', 'kept', 'do', 'crossing']"
Car,Overpass,['injuring'],['injuring']
Parking,Access,"['blocked', 'bing', 'asphalting', 'keeping', 'positioned', 'do', 'provide', 'blocking', 'impeding', 'obstructing', 'interfering', 'make', 'use', 'take', 'paving', 'limiting', 'kidding', 'taken', 'view', 'restricted']","['obstructing', 'taken', 'limiting', 'kidding', 'provide', 'positioned', 'interfering', 'take', 'blocking', 'do']"
Lane,Access,"['maintained', 'remains', 'check', 'turning', 'closed', 'call', 'improve']","['improve', 'turning', 'call', 'check', 'maintained', 'remains', 'closed']"
Freeway,Line,"['hit', 'killed']","['hit', 'killed']"
Bike,Campus,"['hit', 'make', 'watch', 'walking', 'walk', 'have', 'seems']","['walking', 'hit', 'walk', 'make', 'have', 'watch', 'seems']"
Road,Crossing,"['required', 'works', 'made', 'commence', 'feel', 'stop', 'crossing', 'called', 'provide', 'claim', 'taken', 'changing', 'use', 'apply', 'going', 'looks', 'slows', 'running', 'give', 'hate', 'check', 'follow', 'have', 'moving', 'cross', 'does', 'causing', 'saw', 'killed', 'help', 'led', 'fractured', 'run', 'asked', 'chose']","['crossing', 'stop', 'moving']"
Traffic,Subway,"['opened', 'complain', 'walking', 'hear', 'serviced', 'walk', 'find']","['find', 'walking', 'complain', 'serviced', 'walk', 'opened', 'hear']"
