,Topic 0 words,Topic 0 weights,Topic 1 words,Topic 1 weights,Topic 2 words,Topic 2 weights,Topic 3 words,Topic 3 weights,Topic 4 words,Topic 4 weights,Topic 5 words,Topic 5 weights,Topic 6 words,Topic 6 weights,Topic 7 words,Topic 7 weights,Topic 8 words,Topic 8 weights,Topic 9 words,Topic 9 weights,Topic 10 words,Topic 10 weights,Topic 11 words,Topic 11 weights,Topic 12 words,Topic 12 weights,Topic 13 words,Topic 13 weights,Topic 14 words,Topic 14 weights,Topic 15 words,Topic 15 weights,Topic 16 words,Topic 16 weights,Topic 17 words,Topic 17 weights,Topic 18 words,Topic 18 weights,Topic 19 words,Topic 19 weights,Topic 20 words,Topic 20 weights,Topic 21 words,Topic 21 weights,Topic 22 words,Topic 22 weights,Topic 23 words,Topic 23 weights,Topic 24 words,Topic 24 weights,Topic 25 words,Topic 25 weights,Topic 26 words,Topic 26 weights,Topic 27 words,Topic 27 weights,Topic 28 words,Topic 28 weights,Topic 29 words,Topic 29 weights
0,hit,55423.9,drive,32536.6,safeti,61535.7,bridg,15700.9,like,18942.8,light,32796.8,w,7226.0,overpass,9487.5,citi,49662.0,st,39115.7,check,10467.4,car,20830.7,park,31281.3,rt,9473.6,year,38357.1,’,37624.6,campu,11340.0,”,35419.9,close,37588.8,bu,39430.0,sidewalk,7696.5,spot,6029.0,san,7940.6,walk,43684.3,injuri,38317.8,bridg,97021.9,street,44203.7,video,10886.5,cross,87696.1,delay,12197.5
1,car,39760.4,car,26300.0,improv,33846.4,one,15606.7,good,16062.6,speed,32429.7,bike,6362.9,lane,8031.4,squar,19080.8,th,25817.5,call,10366.8,get,17692.8,station,28413.1,game,5320.9,death,27499.0,’t,25655.8,’,10556.7,wheelchair,15697.9,lane,35871.6,night,11083.8,street,6749.4,famili,5260.3,j,7306.6,ask,10257.1,struck,33650.5,construct,13493.3,lane,31147.6,fenc,10296.2,road,52532.1,tunnel,9885.7
2,kill,31254.0,accid,20710.7,bicycl,19749.9,collaps,15507.9,still,14783.1,turn,19990.6,elev,5279.1,sa,7686.8,time,16760.2,close,22444.8,go,7736.7,like,13656.8,new,18382.5,end,5258.4,kill,24663.2,it,15349.5,cop,8158.9,user,12509.2,struck,31656.1,hospit,8843.8,’r,6030.6,blind,4733.9,restrict,7186.7,want,9324.2,collis,30030.6,gate,12318.3,road,30928.1,u,8011.8,stop,17557.6,expect,8992.3
3,polic,28852.7,kill,19294.5,plan,18463.9,sign,14346.2,make,12671.5,red,19000.5,counti,4742.3,highway,5622.9,friendli,14984.5,trail,16861.6,bicyclist,7551.2,cross,13013.5,shop,14486.9,like,5216.7,old,24361.7,car,14219.9,major,8051.9,need,11731.4,traffic,28412.1,hit,8399.4,everi,5541.8,time,4688.5,vehicular,6559.3,work,9245.0,vehicl,26634.4,new,11558.9,cycl,27052.1,oper,7335.2,traffic,17404.9,bridg,8077.9
4,driver,25767.8,self,14349.4,citi,16059.8,way,14098.1,know,11386.8,cross,17959.5,navig,4364.3,carri,4920.4,plaza,13174.0,access,16706.4,sherman,6743.0,time,12844.3,mall,13411.1,get,4920.8,man,24215.6,driver,12835.8,link,7707.1,push,11005.0,accid,23376.5,east,8360.2,walkway,5323.5,de,4649.2,live,6098.0,creat,7577.9,scene,17329.1,build,10753.6,space,24119.6,law,7162.3,pleas,16509.4,north,7122.2
5,away,17844.4,uber,14270.0,bike,14857.6,person,13018.4,look,9938.4,limit,15074.5,portland,4194.0,na,4821.0,car,9489.0,bridg,16017.6,mediocr,6189.2,go,12827.6,subway,11124.2,tonight,4908.3,driver,21907.0,stop,9985.7,slow,7579.2,disabl,8463.0,fatal,23264.1,west,7724.4,day,5297.9,arrest,4117.1,cross,5293.4,vote,7513.0,seriou,16711.5,river,8930.5,park,21322.5,watch,6844.0,use,15309.9,traffic,5967.4
6,elderli,17758.0,fatal,14210.9,transport,14856.3,univers,11562.3,traffic,9830.8,left,13624.2,traffic,4131.2,son,4747.1,make,8803.9,open,15442.5,ped,6119.7,bike,12472.1,rail,10682.3,pick,3668.8,drunk,12733.0,don,8376.7,govern,6976.0,barrier,5923.4,near,22708.6,cross,7064.2,cross,4874.0,taken,3814.1,movement,5238.8,nigerian,6304.7,polic,12769.7,open,6889.5,footpath,16992.6,moment,6455.8,crosswalk,13804.2,caus,5416.5
7,injur,17690.3,vehicl,10112.4,street,12204.5,florida,11463.0,would,9674.1,traffic,12347.1,walkway,3811.8,truck,4671.1,walkabl,8240.9,pm,14834.8,report,5070.3,way,11978.1,entranc,10035.1,one,3574.9,charg,12687.2,walk,7726.6,fire,6831.3,help,5778.2,crash,22038.7,bodi,6961.4,second,3616.5,miss,3659.0,friend,4850.1,job,6041.3,report,10744.0,built,6259.8,bike,14793.5,get,5230.5,light,13617.7,rush,4493.3
8,morn,17099.4,driver,9710.5,project,11588.5,peopl,11426.3,mani,8284.7,driver,11374.4,cross,3733.8,knock,4527.2,urban,8094.2,traffic,14476.9,impact,4636.8,i,10108.6,line,9094.7,run,3574.8,drive,10989.5,peopl,7199.7,where,6821.0,mile,5761.0,kill,19713.3,san,6595.2,month,3554.8,today,3619.6,back,3935.8,pass,4888.9,involv,10288.3,project,6042.4,path,14775.9,enforc,4932.1,signal,11378.8,america,4043.5
9,run,16270.4,hit,7643.6,new,10870.4,traffic,10311.1,everi,8137.1,car,11132.8,lane,3659.7,r,4261.6,bike,7969.0,ave,14325.5,break,4314.5,ride,9915.5,centr,8771.6,walk,3454.7,hit,9390.0,one,7007.2,jaywalk,6682.1,peopl,5277.0,vehicl,19198.5,port,6146.2,crosswalk,3524.5,help,3576.4,hold,3371.7,mile,4731.4,car,10193.2,hour,6007.3,car,11202.2,gang,4929.0,driver,10840.6,bu,3787.2
